               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018664,           0.0067479,             0.02423,             0.95615,             0.86169,             0.88959,             0.83148,           0.0032676,           0.0015922,           0.0029308,            0.006535,            0.006535,            0.006535
                  37,            0.018877,           0.0068285,            0.023903,             0.97531,             0.86257,             0.91312,             0.85551,            0.003092,           0.0015887,           0.0029444,            0.006436,            0.006436,            0.006436
                  38,            0.018619,           0.0067111,            0.022719,             0.90042,             0.83322,             0.88377,             0.81566,           0.0031518,           0.0016093,           0.0036892,            0.006337,            0.006337,            0.006337
                  39,            0.018263,           0.0065626,            0.023614,             0.96434,             0.86305,             0.89978,             0.84228,           0.0033286,             0.00168,           0.0027264,            0.006238,            0.006238,            0.006238
                  40,            0.017187,           0.0065354,            0.021013,              0.9903,             0.84891,             0.93602,             0.86278,           0.0035593,            0.001776,           0.0022888,            0.006139,            0.006139,            0.006139
                  41,            0.016943,           0.0063217,            0.020861,             0.97565,             0.85133,             0.93748,             0.86264,           0.0030862,           0.0015282,           0.0028281,             0.00604,             0.00604,             0.00604
                  42,            0.017477,           0.0065012,            0.021112,              0.9822,             0.86382,             0.94382,             0.87929,           0.0030557,           0.0014827,            0.002003,            0.005941,            0.005941,            0.005941
                  43,            0.018324,           0.0065435,            0.021193,             0.95248,             0.85528,             0.96673,             0.89111,           0.0034029,           0.0015752,           0.0026436,            0.005842,            0.005842,            0.005842
                  44,            0.017312,            0.006435,            0.021027,             0.97534,             0.84919,             0.94024,             0.87122,           0.0033232,           0.0015049,           0.0021706,            0.005743,            0.005743,            0.005743
                  45,            0.017321,           0.0062217,            0.020368,             0.98716,             0.85728,             0.93861,             0.88311,           0.0029292,           0.0014701,           0.0017948,            0.005644,            0.005644,            0.005644
                  46,            0.016772,           0.0062986,            0.018279,             0.89558,             0.90627,             0.97149,             0.91201,           0.0033317,           0.0014119,             0.00219,            0.005545,            0.005545,            0.005545
                  47,             0.01535,           0.0062148,            0.017144,             0.87269,             0.93493,             0.98255,             0.93871,           0.0029238,           0.0014439,           0.0020961,            0.005446,            0.005446,            0.005446
                  48,            0.017306,             0.00617,            0.018384,             0.88291,             0.96119,             0.96529,             0.90152,           0.0035928,           0.0015826,           0.0018158,            0.005347,            0.005347,            0.005347
                  49,            0.017583,           0.0062936,            0.019143,             0.92381,              0.9706,              0.9879,             0.92515,           0.0029213,           0.0015448,           0.0017208,            0.005248,            0.005248,            0.005248
                  50,            0.017246,           0.0060263,            0.019334,             0.91354,             0.97077,             0.98153,             0.94022,           0.0026904,           0.0013745,            0.001831,            0.005149,            0.005149,            0.005149
                  51,            0.016495,           0.0060311,            0.016775,             0.96216,             0.96861,             0.98088,             0.94028,           0.0027755,           0.0014523,           0.0014853,             0.00505,             0.00505,             0.00505
                  52,            0.016288,           0.0061279,             0.01706,             0.94642,             0.96886,             0.97277,             0.93617,           0.0026431,           0.0013546,           0.0014639,            0.004951,            0.004951,            0.004951
                  53,            0.016139,           0.0061168,            0.018478,             0.96553,             0.96003,             0.96846,              0.9248,           0.0025451,           0.0012882,           0.0015139,            0.004852,            0.004852,            0.004852
